id_do_veiculo,tipo_de_veiculo,modelo_do_veiculo,categoria_das_pecas,nome_das_pecas,marca_das_pecas,modelo_do_veiculo_compativel,ano_do_veiculo_compativel,preco_da_peca,estoque,fornecedor_da_peca,codigo_de_barras,peso_da_peca_(kg),dimensao_da_peca_(cm),material_principal_da_peca,garantia_(meses),descricao_da_peca,numero_oem,data_de_fabricacao_da_peca,origem_da_peca
132,caminhao,daf xf 105,interior,painel central,bosch,daf xf 105,2019,1480.36,56,Carvalho Costela - EI,4116033521583,74.52,75x33x40,plástico,36,"painel central da marca bosch, compatível com daf xf 105, fabricado com vidro.",OE75576353,2022-10-28,japão
137,caminhao,volvo fh 540,freios,disco de freio,mahle,volvo fh 540,2021,5412.55,17,Souza,7887419465674,0.83,44x80x12,aço,18,"disco de freio da marca mahle, compatível com volvo fh 540, fabricado com aço.",OE44697406,2023-05-21,itália
138,carro,hyundai hb20,iluminacao,lampada de farol,magneti marelli,hyundai hb20,2014,3982.0,90,Fogaça - EI,1286900227184,40.98,57x47x21,vidro,12,"lampada de farol da marca magneti marelli, compatível com hyundai hb20, fabricado com alumínio.",OE42979777,2023-02-14,méxico
140,carro,nissan versa,freios,cilindro mestre,magneti marelli,nissan versa,2012,2259.04,5,Gomes,354820060363,58.31,71x19x29,borracha,36,"cilindro mestre da marca magneti marelli, compatível com nissan versa, fabricado com borracha.",OE23050901,2024-09-17,alemanha
142,carro,honda civic,motor,filtro de oleo,valeo,honda civic,2020,2168.4,89,Rocha,1040174557817,66.42,54x32x45,papel,12,"filtro de oleo da marca valeo, compatível com honda civic, fabricado com aço.",OE44829448,2023-08-12,méxico
144,carro,honda civic,suspensao,bieleta,bosch,honda civic,2022,4768.34,31,Jesus,4118703834863,36.51,50x12x6,cerâmica,12,"bieleta da marca bosch, compatível com honda civic, fabricado com cerâmica.",OE55990662,2025-03-15,méxico
145,carro,hyundai hb20,freios,cilindro mestre,valeo,hyundai hb20,2023,311.22,11,Martins Rocha S/A,3982034980558,47.57,78x20x27,aço,24,"cilindro mestre da marca valeo, compatível com hyundai hb20, fabricado com aço.",OE51519553,2023-10-14,brasil
146,carro,nissan versa,iluminacao,lanterna traseira,magneti marelli,nissan versa,2024,319.31,39,Pinto,5294736512271,69.58,78x76x40,plástico,18,"lanterna traseira da marca magneti marelli, compatível com nissan versa, fabricado com borracha.",OE92485086,2022-07-11,alemanha
147,caminhao,ford cargo 2429,iluminacao,farol dianteiro,mahle,ford cargo 2429,2020,2631.29,71,Silveira Silveira - EI,6130103065218,6.44,11x21x17,vidro,36,"farol dianteiro da marca mahle, compatível com ford cargo 2429, fabricado com cerâmica.",OE49771619,2024-02-20,itália
148,carro,peugeot 208,iluminacao,lanterna traseira,valeo,peugeot 208,2017,4449.17,77,Barbosa,2972562179303,51.72,23x55x27,plástico,18,"lanterna traseira da marca valeo, compatível com peugeot 208, fabricado com ferro fundido.",OE87845222,2023-10-07,itália
149,carro,fiat uno,eletrica,relé,trw,fiat uno,2013,1357.32,20,da Paz,4369603773848,29.46,62x79x21,plástico,18,"relé da marca trw, compatível com fiat uno, fabricado com vidro.",OE57232665,2023-12-28,méxico
150,carro,nissan versa,suspensao,bieleta,mahle,nissan versa,2018,2686.69,75,Pereira Costela S/A,9754686938508,52.88,63x47x28,ferro fundido,36,"bieleta da marca mahle, compatível com nissan versa, fabricado com ferro fundido.",OE77206373,2022-12-30,eua
153,carro,renault sandero,freios,cilindro mestre,cofap,renault sandero,2022,5194.88,5,Cardoso,1019460131475,6.78,60x69x18,borracha,18,"cilindro mestre da marca cofap, compatível com renault sandero, fabricado com borracha.",OE90198493,2025-02-19,brasil
154,carro,hyundai hb20,motor,bomba de oleo,cofap,hyundai hb20,2014,4057.73,19,Duarte,322046828104,5.89,12x20x46,alumínio,18,"bomba de oleo da marca cofap, compatível com hyundai hb20, fabricado com aço.",OE53350930,2023-11-04,japão
155,carro,hyundai hb20,ar-condicionado,condensador,bosch,hyundai hb20,2014,1965.31,87,Correia,3086860422913,68.69,62x65x18,borracha,6,"condensador da marca bosch, compatível com hyundai hb20, fabricado com borracha.",OE37147265,2023-09-11,brasil
156,carro,renault sandero,motor,bomba de oleo,magneti marelli,renault sandero,2019,5634.0,37,Rocha,5496733291153,4.35,54x69x5,alumínio,6,"bomba de oleo da marca magneti marelli, compatível com renault sandero, fabricado com vidro.",OE63364745,2025-03-14,itália
157,carro,peugeot 208,eletrica,bateria 60ah,cofap,peugeot 208,2020,5402.63,37,da Paz,4531584311238,40.03,69x37x13,borracha,12,"bateria 60ah da marca cofap, compatível com peugeot 208, fabricado com borracha.",OE86441541,2023-08-31,brasil
158,carro,jeep renegade,freios,pastilha de freio,cofap,jeep renegade,2014,1472.66,1,Novaes,6638656454768,19.96,12x49x34,cerâmica,24,"pastilha de freio da marca cofap, compatível com jeep renegade, fabricado com ferro fundido.",OE26656650,2023-12-25,itália
159,caminhao,man tgx 29.480,iluminacao,farol dianteiro,luk,man tgx 29.480,2017,2446.07,23,Campos,7533029655348,26.74,30x35x10,vidro,12,"farol dianteiro da marca luk, compatível com man tgx 29.480, fabricado com plástico.",OE85500376,2022-06-03,china
161,carro,toyota corolla,ar-condicionado,filtro de cabine,bosch,toyota corolla,2021,4790.81,73,Cavalcanti,1085210981263,48.64,67x11x20,plástico,36,"filtro de cabine da marca bosch, compatível com toyota corolla, fabricado com plástico.",OE30488573,2024-03-15,china
162,carro,hyundai hb20,suspensao,bieleta,magneti marelli,hyundai hb20,2024,2736.48,96,Ribeiro,9891623839266,32.51,53x58x31,alumínio,6,"bieleta da marca magneti marelli, compatível com hyundai hb20, fabricado com alumínio.",OE59305315,2024-09-21,alemanha
163,carro,nissan versa,motor,vela de ignicao,valeo,nissan versa,2021,5192.12,29,Jesus Martins - ME,6056124246170,47.97,26x55x6,borracha,18,"vela de ignicao da marca valeo, compatível com nissan versa, fabricado com borracha.",OE43282389,2024-12-22,japão
165,carro,nissan versa,ar-condicionado,compressor de ar,monroe,nissan versa,2019,2490.24,66,Farias - ME,4501942891603,54.22,45x18x40,alumínio,12,"compressor de ar da marca monroe, compatível com nissan versa, fabricado com ferro fundido.",OE52532028,2022-06-25,méxico
166,caminhao,volkswagen constellation,ar-condicionado,compressor de ar,valeo,volkswagen constellation,2015,1396.07,18,da Cruz Ferreira S.A.,6632677453397,54.81,61x29x46,alumínio,6,"compressor de ar da marca valeo, compatível com volkswagen constellation, fabricado com ferro fundido.",OE51836382,2023-06-20,japão
167,caminhao,iveco stralis,suspensao,amortecedor,valeo,iveco stralis,2021,5492.26,99,Lopes - EI,7218215786296,37.09,72x79x24,aço,36,"amortecedor da marca valeo, compatível com iveco stralis, fabricado com vidro.",OE73546591,2023-02-16,china
168,caminhao,iveco stralis,ar-condicionado,condensador,trw,iveco stralis,2017,4509.06,27,Pereira,4999551344687,4.81,74x70x46,cerâmica,24,"condensador da marca trw, compatível com iveco stralis, fabricado com cerâmica.",OE79621516,2023-08-27,méxico
169,caminhao,scania r440,ar-condicionado,condensador,trw,scania r440,2022,5575.72,91,Pires,5480965529290,38.99,20x46x26,vidro,24,"condensador da marca trw, compatível com scania r440, fabricado com vidro.",OE44822647,2023-12-06,china
170,carro,chevrolet onix,ar-condicionado,evaporador,mahle,chevrolet onix,2023,431.44,79,Silva da Mata e Filhos,4665807150622,50.69,25x52x17,alumínio,18,"evaporador da marca mahle, compatível com chevrolet onix, fabricado com borracha.",OE80991697,2023-10-12,méxico
173,caminhao,volvo fh 540,ar-condicionado,condensador,bosch,volvo fh 540,2022,4632.06,8,Peixoto Alves e Filhos,9176504738433,57.85,39x45x40,ferro fundido,6,"condensador da marca bosch, compatível com volvo fh 540, fabricado com ferro fundido.",OE57626123,2025-03-11,méxico
174,caminhao,daf xf 105,interior,painel central,mahle,daf xf 105,2020,226.22,16,Monteiro Ltda.,4866413437453,6.52,48x56x28,plástico,18,"painel central da marca mahle, compatível com daf xf 105, fabricado com alumínio.",OE72664401,2024-01-25,japão
175,carro,renault sandero,eletrica,bateria 60ah,magneti marelli,renault sandero,2023,1086.49,65,Vieira S.A.,3911401200760,48.04,34x65x34,plástico,36,"bateria 60ah da marca magneti marelli, compatível com renault sandero, fabricado com plástico.",OE84120048,2023-08-25,itália
176,carro,peugeot 208,iluminacao,lanterna traseira,bosch,peugeot 208,2010,4589.21,31,Correia - EI,1945080440171,17.66,10x37x45,plástico,6,"lanterna traseira da marca bosch, compatível com peugeot 208, fabricado com plástico.",OE90361770,2023-04-03,brasil
177,carro,fiat uno,interior,painel central,luk,fiat uno,2014,4826.47,54,Nascimento Costela S.A.,8233943506656,10.15,62x25x45,plástico,12,"painel central da marca luk, compatível com fiat uno, fabricado com aço.",OE75612029,2024-08-14,alemanha
178,carro,renault sandero,interior,maçaneta interna,trw,renault sandero,2021,4061.55,29,Azevedo da Paz S/A,6384635370528,37.89,61x69x22,borracha,18,"maçaneta interna da marca trw, compatível com renault sandero, fabricado com borracha.",OE90882696,2024-10-28,méxico
179,carro,chevrolet onix,motor,correia dentada,hella,chevrolet onix,2024,253.23,33,Nascimento S.A.,8187054016170,13.13,58x79x13,plástico,18,"correia dentada da marca hella, compatível com chevrolet onix, fabricado com plástico.",OE98229073,2023-08-04,eua
180,carro,honda civic,ar-condicionado,condensador,bosch,honda civic,2019,1373.33,35,Correia,9357347817923,18.71,49x66x41,ferro fundido,6,"condensador da marca bosch, compatível com honda civic, fabricado com ferro fundido.",OE36036778,2023-09-19,eua
182,carro,vw gol,ar-condicionado,filtro de cabine,magneti marelli,vw gol,2015,5028.5,9,Araújo,3464169451443,8.57,13x29x25,alumínio,36,"filtro de cabine da marca magneti marelli, compatível com vw gol, fabricado com alumínio.",OE84048126,2023-07-14,méxico
183,carro,hyundai hb20,suspensao,mola helicoidal,mahle,hyundai hb20,2016,5552.91,2,Dias,1661045100866,35.72,50x74x45,vidro,6,"mola helicoidal da marca mahle, compatível com hyundai hb20, fabricado com vidro.",OE42066004,2022-10-13,méxico
185,carro,renault sandero,interior,botão do painel,valeo,renault sandero,2014,3186.5,32,Nogueira,2061229798282,68.22,73x24x50,plástico,12,"botão do painel da marca valeo, compatível com renault sandero, fabricado com aço.",OE60483155,2023-04-29,japão
186,carro,peugeot 208,suspensao,bucha da bandeja,mahle,peugeot 208,2013,1871.19,79,Ribeiro Alves Ltda.,2708604357015,32.04,25x66x35,cerâmica,24,"bucha da bandeja da marca mahle, compatível com peugeot 208, fabricado com cerâmica.",OE49036357,2023-04-21,itália
187,carro,chevrolet onix,interior,acabamento de porta,cofap,chevrolet onix,2020,2281.45,40,Alves e Filhos,7224862586578,58.3,75x77x15,borracha,18,"acabamento de porta da marca cofap, compatível com chevrolet onix, fabricado com borracha.",OE88459734,2024-07-04,méxico
189,carro,renault sandero,iluminacao,farol dianteiro,trw,renault sandero,2022,1743.23,91,Ramos da Mata - EI,7662133252140,22.51,43x64x16,vidro,24,"farol dianteiro da marca trw, compatível com renault sandero, fabricado com aço.",OE90235074,2023-08-16,méxico
190,caminhao,daf xf 105,motor,filtro de oleo,valeo,daf xf 105,2020,132.41,69,da Costa Novaes Ltda.,3005435439729,69.17,19x51x48,papel,24,"filtro de oleo da marca valeo, compatível com daf xf 105, fabricado com plástico.",OE12265189,2023-07-03,brasil
191,caminhao,mercedes-benz actros,iluminacao,lanterna traseira,valeo,mercedes-benz actros,2022,2445.53,29,Duarte S.A.,731497928293,18.67,11x62x13,plástico,18,"lanterna traseira da marca valeo, compatível com mercedes-benz actros, fabricado com vidro.",OE15885759,2023-10-03,japão
192,caminhao,volkswagen constellation,suspensao,amortecedor,luk,volkswagen constellation,2020,3986.47,62,Alves,5627740188956,40.36,74x32x50,aço,12,"amortecedor da marca luk, compatível com volkswagen constellation, fabricado com ferro fundido.",OE24926076,2023-11-23,japão
193,carro,jeep renegade,iluminacao,farol dianteiro,cofap,jeep renegade,2016,2211.56,41,Farias Nunes Ltda.,3244524289917,62.81,68x42x34,vidro,18,"farol dianteiro da marca cofap, compatível com jeep renegade, fabricado com borracha.",OE45589392,2023-01-03,china
194,carro,chevrolet onix,ar-condicionado,filtro de cabine,trw,chevrolet onix,2017,4727.65,54,da Luz Ltda.,1661862462598,38.73,77x78x50,aço,24,"filtro de cabine da marca trw, compatível com chevrolet onix, fabricado com aço.",OE82529733,2023-03-23,japão
196,caminhao,volvo fh 540,iluminacao,farol dianteiro,cofap,volvo fh 540,2021,2700.39,61,da Rosa - ME,5267349082646,27.01,23x70x49,vidro,36,"farol dianteiro da marca cofap, compatível com volvo fh 540, fabricado com plástico.",OE78090709,2024-04-27,brasil
197,carro,jeep renegade,ar-condicionado,condensador,hella,jeep renegade,2018,1881.51,79,da Mata,8647806835621,30.21,18x52x7,cerâmica,12,"condensador da marca hella, compatível com jeep renegade, fabricado com cerâmica.",OE91226938,2023-12-12,brasil
198,carro,hyundai hb20,freios,cilindro mestre,cofap,hyundai hb20,2013,2145.83,83,Teixeira S/A,4001449013039,73.16,58x80x21,alumínio,6,"cilindro mestre da marca cofap, compatível com hyundai hb20, fabricado com alumínio.",OE24136720,2022-07-01,alemanha
199,caminhao,daf xf 105,eletrica,alternador,bosch,daf xf 105,2019,5438.01,4,Barbosa,1807122555055,51.58,56x14x40,ferro fundido,12,"alternador da marca bosch, compatível com daf xf 105, fabricado com ferro fundido.",OE39023140,2023-04-24,itália
200,carro,peugeot 208,motor,bomba de oleo,trw,peugeot 208,2022,189.33,85,da Mota Fogaça S.A.,258981254671,6.97,21x12x48,alumínio,12,"bomba de oleo da marca trw, compatível com peugeot 208, fabricado com ferro fundido.",OE89764186,2024-03-01,méxico
201,carro,jeep renegade,iluminacao,lanterna traseira,cofap,jeep renegade,2022,5528.29,15,Cavalcanti da Mota S/A,5262863722313,40.61,67x38x32,plástico,18,"lanterna traseira da marca cofap, compatível com jeep renegade, fabricado com cerâmica.",OE65150925,2022-09-06,itália
202,caminhao,man tgx 29.480,interior,painel central,trw,man tgx 29.480,2022,5018.84,50,Mendes,7810466726023,68.62,21x66x29,plástico,24,"painel central da marca trw, compatível com man tgx 29.480, fabricado com alumínio.",OE81600523,2024-10-30,alemanha
203,carro,honda civic,freios,pastilha de freio,hella,honda civic,2017,4005.64,92,Nunes,1068004045044,66.09,29x75x14,cerâmica,24,"pastilha de freio da marca hella, compatível com honda civic, fabricado com borracha.",OE29888099,2024-07-12,alemanha
204,carro,honda civic,suspensao,amortecedor,trw,honda civic,2018,1078.94,93,Pires,6993409979012,0.36,79x41x7,aço,6,"amortecedor da marca trw, compatível com honda civic, fabricado com ferro fundido.",OE80815580,2024-08-02,china
205,carro,hyundai hb20,motor,filtro de oleo,bosch,hyundai hb20,2011,5794.67,72,Pires,3909713089258,24.11,43x36x33,papel,36,"filtro de oleo da marca bosch, compatível com hyundai hb20, fabricado com borracha.",OE51565342,2022-07-11,japão
206,carro,toyota corolla,eletrica,alternador,hella,toyota corolla,2014,2849.96,22,Souza,2216989311503,0.26,76x57x40,aço,36,"alternador da marca hella, compatível com toyota corolla, fabricado com aço.",OE41949815,2022-04-21,itália
208,carro,honda civic,motor,bomba de oleo,magneti marelli,honda civic,2020,855.69,86,Lopes,2481671155660,0.24,14x46x26,alumínio,24,"bomba de oleo da marca magneti marelli, compatível com honda civic, fabricado com borracha.",OE34748524,2023-11-15,alemanha
209,carro,nissan versa,motor,correia dentada,valeo,nissan versa,2016,2772.3,45,Castro,7328688346153,65.84,58x54x16,aço,36,"correia dentada da marca valeo, compatível com nissan versa, fabricado com aço.",OE61595435,2023-02-18,japão
210,caminhao,iveco stralis,freios,tambor de freio,magneti marelli,iveco stralis,2015,4429.3,64,da Rocha - EI,826399638866,4.88,27x35x14,vidro,24,"tambor de freio da marca magneti marelli, compatível com iveco stralis, fabricado com vidro.",OE47187567,2022-12-25,japão
213,caminhao,iveco stralis,eletrica,alternador,hella,iveco stralis,2017,2069.82,38,Aragão da Cruz S.A.,4458160333548,24.18,25x68x24,cerâmica,6,"alternador da marca hella, compatível com iveco stralis, fabricado com cerâmica.",OE20904019,2024-10-16,japão
216,carro,chevrolet onix,iluminacao,farol dianteiro,luk,chevrolet onix,2015,1746.97,33,Dias - ME,4442310801476,74.47,64x28x6,vidro,6,"farol dianteiro da marca luk, compatível com chevrolet onix, fabricado com borracha.",OE64957850,2024-02-04,itália
217,caminhao,mercedes-benz actros,interior,painel central,trw,mercedes-benz actros,2019,1135.74,49,da Rocha,369574980850,67.07,16x16x46,plástico,6,"painel central da marca trw, compatível com mercedes-benz actros, fabricado com aço.",OE71099399,2024-01-13,eua
219,carro,vw gol,iluminacao,farol dianteiro,monroe,vw gol,2020,2110.7,72,Nascimento Silveira - ME,2262576992600,1.62,26x27x48,vidro,12,"farol dianteiro da marca monroe, compatível com vw gol, fabricado com ferro fundido.",OE58213954,2024-08-27,méxico
221,carro,peugeot 208,suspensao,bucha da bandeja,magneti marelli,peugeot 208,2012,418.0,35,Fogaça Costa S/A,4745720868702,60.22,11x75x5,aço,24,"bucha da bandeja da marca magneti marelli, compatível com peugeot 208, fabricado com aço.",OE18918854,2023-05-25,china
223,caminhao,volvo fh 540,ar-condicionado,compressor de ar,bosch,volvo fh 540,2018,1678.64,81,Rodrigues,9172030602767,32.86,69x71x14,alumínio,36,"compressor de ar da marca bosch, compatível com volvo fh 540, fabricado com cerâmica.",OE59718737,2024-08-15,méxico
224,caminhao,man tgx 29.480,interior,painel central,cofap,man tgx 29.480,2023,791.34,12,Rezende,625845116817,74.97,34x15x6,plástico,6,"painel central da marca cofap, compatível com man tgx 29.480, fabricado com alumínio.",OE83085333,2022-08-13,japão
228,carro,vw gol,ar-condicionado,filtro de cabine,valeo,vw gol,2011,4117.23,92,Pinto,2620037798145,62.76,19x48x27,cerâmica,18,"filtro de cabine da marca valeo, compatível com vw gol, fabricado com cerâmica.",OE86682067,2024-10-26,eua
229,caminhao,mercedes-benz actros,ar-condicionado,condensador,bosch,mercedes-benz actros,2015,4304.92,0,Lopes S.A.,3474674420940,29.73,77x48x39,cerâmica,18,"condensador da marca bosch, compatível com mercedes-benz actros, fabricado com cerâmica.",OE37917598,2023-05-27,japão
232,carro,chevrolet onix,eletrica,bateria 60ah,luk,chevrolet onix,2021,992.67,88,da Mota Monteiro S.A.,4297656413971,24.58,54x56x36,borracha,18,"bateria 60ah da marca luk, compatível com chevrolet onix, fabricado com borracha.",OE19487210,2022-12-17,méxico
233,carro,renault sandero,iluminacao,lampada de farol,mahle,renault sandero,2010,2788.25,95,da Cunha,6932745430818,37.13,10x15x34,vidro,18,"lampada de farol da marca mahle, compatível com renault sandero, fabricado com alumínio.",OE22087267,2024-10-05,china
234,caminhao,mercedes-benz actros,iluminacao,farol dianteiro,magneti marelli,mercedes-benz actros,2023,5106.19,50,Moreira,3344693469667,17.69,80x31x6,vidro,6,"farol dianteiro da marca magneti marelli, compatível com mercedes-benz actros, fabricado com cerâmica.",OE26366836,2025-03-11,alemanha
235,carro,jeep renegade,ar-condicionado,evaporador,luk,jeep renegade,2019,4440.66,20,Gonçalves Ferreira S.A.,7022521275296,5.85,47x13x21,alumínio,12,"evaporador da marca luk, compatível com jeep renegade, fabricado com alumínio.",OE55359353,2024-05-12,itália
237,carro,fiat uno,interior,botão do painel,trw,fiat uno,2022,4766.54,65,Dias,8426257948100,33.74,46x39x8,plástico,36,"botão do painel da marca trw, compatível com fiat uno, fabricado com ferro fundido.",OE81841138,2022-08-14,brasil
239,carro,hyundai hb20,iluminacao,lanterna traseira,monroe,hyundai hb20,2024,5299.69,92,Martins da Cunha - ME,4742292837952,24.04,26x31x32,plástico,24,"lanterna traseira da marca monroe, compatível com hyundai hb20, fabricado com ferro fundido.",OE91401945,2024-10-15,alemanha
240,carro,nissan versa,interior,maçaneta interna,hella,nissan versa,2024,1502.48,92,Jesus,8957300157892,18.87,57x31x25,ferro fundido,36,"maçaneta interna da marca hella, compatível com nissan versa, fabricado com ferro fundido.",OE61203528,2022-07-29,eua
241,carro,renault sandero,suspensao,bieleta,monroe,renault sandero,2018,1386.13,66,Souza,8695086397414,26.64,50x57x29,ferro fundido,36,"bieleta da marca monroe, compatível com renault sandero, fabricado com ferro fundido.",OE47776371,2023-04-13,japão
242,caminhao,scania r440,suspensao,amortecedor,luk,scania r440,2022,2306.56,86,Teixeira e Filhos,1788899631725,53.72,34x50x30,aço,12,"amortecedor da marca luk, compatível com scania r440, fabricado com aço.",OE71774954,2023-11-04,brasil
243,carro,honda civic,interior,acabamento de porta,cofap,honda civic,2024,5460.97,70,da Mata Costa Ltda.,3628494919447,32.74,14x55x13,vidro,36,"acabamento de porta da marca cofap, compatível com honda civic, fabricado com vidro.",OE76707812,2023-12-04,itália
244,carro,jeep renegade,eletrica,relé,hella,jeep renegade,2015,2639.84,47,Melo Nogueira e Filhos,6411568379431,11.52,75x67x6,plástico,12,"relé da marca hella, compatível com jeep renegade, fabricado com vidro.",OE60177409,2025-03-25,brasil
246,carro,jeep renegade,freios,tambor de freio,hella,jeep renegade,2016,533.33,25,Barbosa,3363266737057,46.96,62x55x34,ferro fundido,24,"tambor de freio da marca hella, compatível com jeep renegade, fabricado com ferro fundido.",OE10107741,2022-09-25,itália
247,carro,fiat uno,ar-condicionado,evaporador,cofap,fiat uno,2014,4912.09,80,Castro,2560001962090,60.61,37x16x28,alumínio,18,"evaporador da marca cofap, compatível com fiat uno, fabricado com aço.",OE98613620,2023-04-22,eua
252,carro,honda civic,suspensao,bieleta,magneti marelli,honda civic,2021,618.65,11,Gomes da Mata e Filhos,1434725171667,77.17,61x40x27,vidro,18,"bieleta da marca magneti marelli, compatível com honda civic, fabricado com vidro.",OE15125871,2023-06-24,itália
254,caminhao,ford cargo 2429,interior,painel central,magneti marelli,ford cargo 2429,2024,2099.16,2,Barbosa S/A,6377258752352,36.26,37x12x44,plástico,6,"painel central da marca magneti marelli, compatível com ford cargo 2429, fabricado com aço.",OE76955000,2023-01-08,eua
255,carro,fiat uno,motor,bomba de oleo,bosch,fiat uno,2021,2351.88,69,Pinto Santos Ltda.,9000547396421,79.88,43x74x20,alumínio,12,"bomba de oleo da marca bosch, compatível com fiat uno, fabricado com alumínio.",OE75702397,2024-10-24,japão
256,carro,toyota corolla,suspensao,bucha da bandeja,valeo,toyota corolla,2015,3471.47,96,Ribeiro,7510562696366,64.58,15x36x5,plástico,36,"bucha da bandeja da marca valeo, compatível com toyota corolla, fabricado com plástico.",OE40751785,2024-12-16,japão
257,carro,fiat uno,iluminacao,lampada de farol,hella,fiat uno,2013,4003.45,92,Peixoto,8499222986810,3.39,49x20x7,vidro,36,"lampada de farol da marca hella, compatível com fiat uno, fabricado com ferro fundido.",OE11605035,2025-03-28,japão
259,carro,toyota corolla,iluminacao,farol dianteiro,monroe,toyota corolla,2015,3141.65,76,Cardoso - ME,7528559548420,70.04,47x22x16,vidro,18,"farol dianteiro da marca monroe, compatível com toyota corolla, fabricado com alumínio.",OE17165936,2023-03-28,china
261,caminhao,mercedes-benz actros,ar-condicionado,compressor de ar,cofap,mercedes-benz actros,2019,4532.37,22,Alves,3241578694957,28.41,57x29x33,alumínio,36,"compressor de ar da marca cofap, compatível com mercedes-benz actros, fabricado com cerâmica.",OE13478837,2025-02-24,brasil
264,carro,jeep renegade,iluminacao,farol dianteiro,trw,jeep renegade,2016,150.05,70,Correia Ramos Ltda.,4352221147016,69.18,73x24x9,vidro,12,"farol dianteiro da marca trw, compatível com jeep renegade, fabricado com ferro fundido.",OE57288112,2024-06-03,japão
265,caminhao,volkswagen constellation,iluminacao,lanterna traseira,luk,volkswagen constellation,2020,5629.51,34,Gonçalves,3831870307541,23.95,17x80x7,plástico,18,"lanterna traseira da marca luk, compatível com volkswagen constellation, fabricado com ferro fundido.",OE39331687,2022-07-30,méxico
266,caminhao,man tgx 29.480,motor,bomba de oleo,luk,man tgx 29.480,2021,1243.32,61,da Costa,795213158685,74.02,70x68x34,alumínio,36,"bomba de oleo da marca luk, compatível com man tgx 29.480, fabricado com aço.",OE99860266,2024-11-10,eua
267,carro,nissan versa,motor,vela de ignicao,valeo,nissan versa,2010,5184.4,14,Duarte,7647045193798,67.7,73x49x23,alumínio,6,"vela de ignicao da marca valeo, compatível com nissan versa, fabricado com alumínio.",OE86847802,2022-06-23,china
268,carro,vw gol,interior,painel central,valeo,vw gol,2011,2402.54,18,Lima S.A.,4463672709316,26.98,46x65x8,plástico,18,"painel central da marca valeo, compatível com vw gol, fabricado com vidro.",OE93110478,2024-03-30,japão
269,carro,renault sandero,interior,painel central,monroe,renault sandero,2023,988.19,55,Gonçalves e Filhos,7327733867766,79.94,22x52x12,plástico,12,"painel central da marca monroe, compatível com renault sandero, fabricado com plástico.",OE58542155,2024-05-01,brasil
270,caminhao,volkswagen constellation,motor,bomba de oleo,magneti marelli,volkswagen constellation,2024,5042.5,92,Caldeira Ltda.,490598266658,65.64,55x48x24,alumínio,36,"bomba de oleo da marca magneti marelli, compatível com volkswagen constellation, fabricado com cerâmica.",OE35983568,2022-07-01,méxico
271,caminhao,scania r440,ar-condicionado,compressor de ar,valeo,scania r440,2021,4930.14,11,Caldeira,1088658204260,29.65,14x76x44,alumínio,18,"compressor de ar da marca valeo, compatível com scania r440, fabricado com aço.",OE87222936,2022-05-24,china
274,carro,chevrolet onix,freios,cilindro mestre,magneti marelli,chevrolet onix,2021,3753.89,93,Carvalho,877649677609,56.82,36x20x32,cerâmica,6,"cilindro mestre da marca magneti marelli, compatível com chevrolet onix, fabricado com cerâmica.",OE96292288,2024-02-29,itália
277,carro,peugeot 208,eletrica,motor de partida,bosch,peugeot 208,2014,5877.52,91,Nunes,8329565958000,44.59,23x78x33,aço,18,"motor de partida da marca bosch, compatível com peugeot 208, fabricado com alumínio.",OE81106070,2023-04-30,china
278,carro,jeep renegade,eletrica,alternador,trw,jeep renegade,2016,233.42,80,Caldeira,3672597741931,75.6,65x17x41,aço,12,"alternador da marca trw, compatível com jeep renegade, fabricado com aço.",OE72962582,2023-09-04,alemanha
279,carro,jeep renegade,ar-condicionado,condensador,bosch,jeep renegade,2021,200.21,99,da Cruz S.A.,2768687594974,48.75,67x72x28,vidro,18,"condensador da marca bosch, compatível com jeep renegade, fabricado com vidro.",OE64804280,2024-09-27,alemanha
280,carro,vw gol,interior,maçaneta interna,valeo,vw gol,2010,2225.69,74,Cardoso Costa - EI,9008029428400,55.56,20x60x38,plástico,6,"maçaneta interna da marca valeo, compatível com vw gol, fabricado com plástico.",OE44110513,2022-08-11,alemanha
281,carro,peugeot 208,ar-condicionado,evaporador,trw,peugeot 208,2015,1116.61,94,Silveira S.A.,6790357019377,20.99,57x46x49,alumínio,12,"evaporador da marca trw, compatível com peugeot 208, fabricado com cerâmica.",OE60547891,2022-05-10,méxico
282,carro,honda civic,ar-condicionado,evaporador,hella,honda civic,2013,4370.72,70,Melo e Filhos,8441656565482,33.21,19x71x42,alumínio,24,"evaporador da marca hella, compatível com honda civic, fabricado com ferro fundido.",OE42717006,2024-05-23,alemanha
283,carro,hyundai hb20,interior,botão do painel,trw,hyundai hb20,2010,1782.38,78,Correia Araújo S/A,4723789046637,27.34,54x27x30,plástico,24,"botão do painel da marca trw, compatível com hyundai hb20, fabricado com cerâmica.",OE34733080,2022-11-11,méxico
284,caminhao,daf xf 105,freios,disco de freio,luk,daf xf 105,2020,2335.19,29,Freitas,1120114953715,45.06,28x80x9,cerâmica,18,"disco de freio da marca luk, compatível com daf xf 105, fabricado com cerâmica.",OE34242068,2022-05-27,méxico
285,carro,peugeot 208,freios,pastilha de freio,mahle,peugeot 208,2014,3993.11,31,Gomes,32200238167,20.76,10x23x43,cerâmica,12,"pastilha de freio da marca mahle, compatível com peugeot 208, fabricado com aço.",OE40213897,2022-10-06,eua
